Code,Description
6808,POWER CORD ASMD WRONG
6809,POWER CORD DAMAGED
6810,POWER CORD UNPLUGGED
6820,POWER CORD PRONGS BENT
6830,Power Harness Wrong Part
6835,Power Supply Board Def
6904,INSULATION RET DEFECTIVE
6905,INSULATION RET LOOSE
6906,INSULATION RET MISSING
6910,INSULATION RET WRONG
6912,INSULATION RET ASMBD WRG
6913,INSULATION RET DAMAGED
6925,INS RETAINR WIRE LOOSE
6926,INS RETAINR WIRE MISSING
7103,FELT SHOWING
7200,HANDLE SLEEVE ASM WRONG
7201,HANDLE PLASTIC SLEV MISS
7202,PLASTIC FILM UNDER HANDL
7210,DOOR SPACER DAMAGED
7211,DOOR SPACER MISSING
7220,HANDLE METAL DMGD
7221,HANDLES DEFECTIVE
7222,HANDLES ASM WRONG
7223,HANDLES LOOSE CTQ
7224,HANDLES MISSING
7225,HANDLES WRONG PART
7240,HANDLE PLASTIC DMGD
7241,HANDLE SS SLEEVE MISSING
7250,HANDLE LOOSE UPPER
7251,HANDLE LOOSE LOWER
7252,HANDLE DEFECTIVE UPPER
7253,HANDLE DEFECTIVE LOWER
7312,INFINITE SWITCH WRONG
7317,INFINITE SW. WIRE CRS
7325,MANIFOLD SWITCH DAMAGED
7326,MANIFOLD SWITCH DEFECT
7328,MANIFOLD SWITCH LOOSE
7329,MANIFOLD SWITCH MISSING
7330,MANIFOLD SWITCH UNPLUG
7331,MANIFOLD SWITCH WRG PART
7335,INF SWITCH ASM WRG
7336,INFINITE SWITCH DAMAGED
7337,INFINITE SWITCH DEFECT
7338,INFINITE SWITCH MISSING
7339,INF SWITCHES CROSSED
7340,INFINITE RED BLK CROSSED
7341,HIPOT INFINITE SWITCH
7350,INF SW CLIP BACKWARD
7351,INF SW NO LOW WATTS
7352,INF SW NO DROP ON LOW
7360,INFINITE SWITCH STICKS
7375,INF SWITCH BLEW UP XWIRE
7380,ERC SHORTED XWIRED
7385,Rad Elem Blew Up Xwire
7404,BURNER CAP DEFECTIVE
7405,BURNER CAP LOOSE
7406,BURNER CAP MISSING
